file,category,size_bytes,source_url
core_sys/images/style_parts/ico/arrow/ar02_bg01.gif,Icon,79,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/ico/arrow/ar02_bg01.gif
core_sys/images/style_parts/ico/arrow/ar01_pp01.gif,Icon,53,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/ico/arrow/ar01_pp01.gif
core_sys/images/style_parts/ico/arrow/ar02_gr01.gif,Icon,79,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/ico/arrow/ar02_gr01.gif
core_sys/images/style_parts/ico/arrow/ar02_bg02.gif,Icon,79,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/ico/arrow/ar02_bg02.gif
core_sys/images/style_parts/ico/arrow/ar01_en01.gif,Icon,53,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/ico/arrow/ar01_en01.gif
core_sys/images/style_parts/ico/arrow/ar01_kh01.gif,Icon,53,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/ico/arrow/ar01_kh01.gif
core_sys/images/style_parts/ico/arrow/ar01_or01.gif,Icon,53,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/ico/arrow/ar01_or01.gif
core_sys/images/style_parts/ico/arrow/ar01_gl01.gif,Icon,53,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/ico/arrow/ar01_gl01.gif
core_sys/images/style_parts/ico/arrow/ar01_re01.gif,Icon,53,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/ico/arrow/ar01_re01.gif
core_sys/images/style_parts/ico/arrow/ar01_or02.gif,Icon,53,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/ico/arrow/ar01_or02.gif
core_sys/images/style_parts/ico/arrow/ar01_gl02.gif,Icon,53,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/ico/arrow/ar01_gl02.gif
core_sys/images/style_parts/ico/arrow/ar02_pp01.gif,Icon,79,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/ico/arrow/ar02_pp01.gif
core_sys/images/style_parts/ico/arrow/ar01_gr01.gif,Icon,53,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/ico/arrow/ar01_gr01.gif
core_sys/images/style_parts/ico/arrow/ar01_bg02.gif,Icon,53,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/ico/arrow/ar01_bg02.gif
core_sys/images/style_parts/ico/arrow/ar01_gr02.gif,Icon,53,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/ico/arrow/ar01_gr02.gif
core_sys/images/style_parts/ico/arrow/ar01_bg01.gif,Icon,53,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/ico/arrow/ar01_bg01.gif
core_sys/images/style_parts/ico/arrow/ar02_bl01.gif,Icon,79,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/ico/arrow/ar02_bl01.gif
core_sys/images/style_parts/ico/arrow/ar02_bk.gif,Icon,79,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/ico/arrow/ar02_bk.gif
core_sys/images/style_parts/ico/arrow/ar02_bl02.gif,Icon,79,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/ico/arrow/ar02_bl02.gif
core_sys/images/style_parts/ico/arrow/ar01_sm01.gif,Icon,53,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/style_parts/ico/arrow/ar01_sm01.gif
core_sys/images/contents/00000017/base/l1.gif,Other,37890,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000017/base/l1.gif
core_sys/images/contents/00000010/base/l1.gif,Other,39116,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000010/base/l1.gif
core_sys/images/contents/00000019/base/l1.gif,Other,38759,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000019/base/l1.gif
core_sys/images/contents/00000020/base/l1.gif,Other,38580,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000020/base/l1.gif
core_sys/images/contents/00000018/base/l1.gif,Other,38172,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000018/base/l1.gif
core_sys/images/contents/00000011/base/l1.gif,Other,37989,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000011/base/l1.gif
core_sys/images/contents/00000016/base/l1.gif,Other,37420,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000016/base/l1.gif
core_sys/images/contents/00000009/base/l1.gif,Story,39248,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000009/base/l1.gif
core_sys/images/contents/00000013/base/l1.gif,Other,39774,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000013/base/l1.gif
core_sys/images/contents/00000014/base/l1.gif,Other,38094,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000014/base/l1.gif
core_sys/images/contents/00000015/base/l1.gif,Other,38257,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000015/base/l1.gif
core_sys/images/contents/00000012/base/l1.gif,Other,39700,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000012/base/l1.gif
core_sys/images/footer/cw_bg.gif,Other,2061,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/footer/cw_bg.gif
core_sys/images/others/goods/cd_bottom.gif,Goods,4078,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/others/goods/cd_bottom.gif
core_sys/images/others/goods/cd_spacer.gif,Goods,311,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/others/goods/cd_spacer.gif
core_sys/images/others/goods/cd_main_bg.gif,Goods,101591,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/others/goods/cd_main_bg.gif
core_sys/images/others/goods/cd_ttl_bg.gif,Goods,23530,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/others/goods/cd_ttl_bg.gif
core_sys/images/side/mark_or.gif,Other,48,https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/side/mark_or.gif
