url,type,source_page
https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0005/index00070000.html,page,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0004/index00080010.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/main/contents/h2_3.gif,gif,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0005/index00070000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000007/base/001.jpg,jpg,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0005/index00070000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/list00000000.html,page,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0005/index00070000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/main/contents/h2_4.gif,gif,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/list00000000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000020/base/l1.gif,gif,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/list00000000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000019/base/l1.gif,gif,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/list00000000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000018/base/l1.gif,gif,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/list00000000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000017/base/l1.gif,gif,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/list00000000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000016/base/l1.gif,gif,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/list00000000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000015/base/l1.gif,gif,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/list00000000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000014/base/l1.gif,gif,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/list00000000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000013/base/l1.gif,gif,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/list00000000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000012/base/l1.gif,gif,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/list00000000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000011/base/l1.gif,gif,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/list00000000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000010/base/l1.gif,gif,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/list00000000.html
https://wwws.warnerbros.co.jp/anime/kamimemo/core_sys/images/contents/00000009/base/l1.gif,gif,https://wwws.warnerbros.co.jp/anime/kamimemo/contents/hp0006/list00000000.html
